Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/bulldog/english/images/random,1,0,59.63468551635742,59.63468551635742,59.63468551635742,59.63468551635742,92.0,0.017230054500455297,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/dhole/images/random,1,0,77.67081260681152,77.67081260681152,77.67081260681152,77.67081260681152,92.0,0.017230054500455297,0.0,78,78,78,78,78,78,78,78,78,78,78,78
GET,/api/breed/dingo/images/random,1,0,57.73568153381348,57.73568153381348,57.73568153381348,57.73568153381348,92.0,0.017230054500455297,0.0,58,58,58,58,58,58,58,58,58,58,58,58
GET,/api/breed/hound/basset/images/random/33,1,0,53.680419921875,53.680419921875,53.680419921875,53.680419921875,2321.0,0.017230054500455297,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/retriever/flatcoated/images/random,1,0,50.50230026245117,50.50230026245117,50.50230026245117,50.50230026245117,106.0,0.017230054500455297,0.0,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/breed/rottweiler/images/random,1,0,61.41185760498047,61.41185760498047,61.41185760498047,61.41185760498047,97.0,0.017230054500455297,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/samoyed/images/random,1,0,52.98304557800293,52.98304557800293,52.98304557800293,52.98304557800293,95.0,0.017230054500455297,0.0,53,53,53,53,53,53,53,53,53,53,53,53
GET,/api/breed/setter/list,1,0,56.57243728637695,56.57243728637695,56.57243728637695,56.57243728637695,59.0,0.017230054500455297,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breeds/list/all,3,0,98,108.56119791666667,46.39482498168945,181.36930465698242,2072.0,0.0516901635013659,0.0,98,98,180,180,180,180,180,180,180,180,180,180
,Aggregated,11,0,58,72.35225764187899,46.39482498168945,181.36930465698242,833.6363636363636,0.18953059950500828,0.0,58,61,78,78,98,180,180,180,180,180,180,180
